Titre,Artiste,Année,Style,Tonalité,Tempo_BPM,Difficulté_basse,Progression,Penta_utile,Notes
Roadhouse Blues,The Doors,1970,Blues rock,La,120,2,12 mesures La,La min / blues,
The Girl from Ipanema,Antônio Carlos Jobim,1962,Bossa/jazz,Fa,130,3,Fmaj7–G7–Gm7–F#7,Fa maj,Le pont module
Wonderwall,Oasis,1995,Britpop,Fa# min (doigté Mi min),87,2,Em7–G–Dsus4–A7sus4 (formes),Mi min (formes),Capo 2 : sonne en Fa#m
Don't Look Back in Anger,Oasis,1996,Britpop,Do,82,2,C–G–Am–E / F–G–C,Do maj,Cousin harmonique de Let It Be
Folsom Prison Blues,Johnny Cash,1955,Country,Mi,104,2,E–A–B7 (I–IV–V),Mi maj / blues,
Ring of Fire,Johnny Cash,1963,Country,Sol,120,2,G–C–G / D–C–G,Sol maj,
Jolene,Dolly Parton,1973,Country,Do# min (doigté La min),112,2,Am–C–G (formes),La min (formes),Capo (voir tab) : sonne en Do#m
Wagon Wheel,Old Crow Medicine Show,2004,Country,La,150,2,A–E–F#m–D,La maj,I–V–vi–IV
Take It Easy,Eagles,1972,Country rock,Sol,138,2,G–D–C / Am–C–G,Sol maj,
September,"Earth, Wind & Fire",1978,Disco/funk,La,126,4,Voir tab (riffs cuivres),La maj,
Good Times,Chic,1979,Disco/funk,Mi,112,4,Vamp E (ligne de basse),Mi maj,Basse reprise sur Rapper's Delight
Blowin' in the Wind,Bob Dylan,1963,Folk,Ré,85,1,D–G–A / D–G–D,Ré maj,
The Sound of Silence,Simon & Garfunkel,1964,Folk,Ré min,104,2,Dm–C–F / Bb–F–C,Ré min,
Blackbird,The Beatles,1968,Folk,Sol,96,2,Voir tab (fingerstyle),Sol maj,Doigté croisé
Hallelujah,Leonard Cohen,1984,Folk,Do,60,2,C–Am–F–G–C / F–G–E7–Am,Do maj / La min,
Fast Car,Tracy Chapman,1988,Folk,Do# min (doigté),104,2,Cadd9–G–Em–D (formes),voir tab,Capo (voir tab)
Ho Hey,The Lumineers,2012,Folk pop,Do,80,1,C–F–Am–G,Do maj,
Let Her Go,Passenger,2012,Folk pop,Sol (doigté),75,2,Em–C–G–D (formes),Sol maj (formes),Capo 7 (voir tab)
House of the Rising Sun,The Animals,1964,Folk rock,La min,72,2,Am–C–D–F / Am–E–Am,La min,Arpèges 6/8
A Horse With No Name,America,1971,Folk rock,Mi min,120,1,Em–D6/9 (2 accords),Mi min,Deux accords en boucle
Knockin' on Heaven's Door,Bob Dylan,1973,Folk rock,Sol,68,1,G–D–Am / G–D–C,Sol maj,
Landslide,Fleetwood Mac,1975,Folk rock,Mib (doigté Do),90,2,C–G/B–Am (formes),Do maj (formes),Capo 3 : sonne en Mib
Country Roads,John Denver,1971,Folk/country,La,82,2,A–F#m–E–D,La maj,
Amazing Grace,Traditionnel,,Folk/gospel,Sol (souvent),70,1,G–C–G–D,Sol maj,Mélodie 100% pentatonique majeure
Redemption Song,Bob Marley,1980,Folk/reggae,Sol,76,1,G–Em–C–D / G–C,Sol maj,
Get Up (Sex Machine),James Brown,1970,Funk,Ré,108,3,Vamp D7 (pont sur autre degré),Ré min / blues,Groove sur un seul accord
Higher Ground,Stevie Wonder,1973,Funk,Mib min,108,4,Vamp Ebm,Mib min,Clavinet ; altéré
I Wish,Stevie Wonder,1976,Funk,Mib min,106,4,Ebm7–Ab7 (vamp),Mib min,"Ligne de basse célèbre, altérée"
Play That Funky Music,Wild Cherry,1976,Funk,Mi,112,3,Vamp E9,Mi min / blues,
Brick House,Commodores,1977,Funk,La,112,4,Vamp A,La min / blues,
Chameleon,Herbie Hancock,1973,Funk/jazz,Sib min,108,4,Bbm7–Eb7,Sib min,Ligne de basse synthé iconique
I Got You (I Feel Good),James Brown,1965,Funk/soul,Ré,136,3,12 mesures (I–IV–V),Ré maj / blues,
Superstition,Stevie Wonder,1972,Funk/soul,Mib min,100,4,Vamp Mibm (riff clavinet),Mib min,Exemple de penta AVEC altérations
Come As You Are,Nirvana,1991,Grunge,Mi min (doigté),120,2,Riff sur Mi,Mi min,Album accordé plus bas (vérifier accordage)
Smells Like Teen Spirit,Nirvana,1991,Grunge,Fa (power chords),117,2,F5–Bb5–Ab5–Db5,Fa min,Power chords ; hauteur album ~standard (vérifier)
Black Hole Sun,Soundgarden,1994,Grunge,Sol,104,3,Voir tab (harmonie chromatique),Sol maj,Progression atypique
Whole Lotta Love,Led Zeppelin,1969,Hard rock,Mi,90,2,Riff/vamp sur E,Mi min / blues,
Immigrant Song,Led Zeppelin,1970,Hard rock,Fa# min,113,3,Riff sur Fa#,Fa# min,
Rock and Roll,Led Zeppelin,1971,Hard rock,La,168,3,12 mesures La,La min / blues,
Smoke on the Water,Deep Purple,1972,Hard rock,Sol min,112,2,Riff Sol–Sib–Do (quartes),Sol min,"Riff aux quartes, pas une penta stricte"
Barracuda,Heart,1977,Hard rock,Mi,150,3,Riff sur E,Mi min,
Highway to Hell,AC/DC,1979,Hard rock,La,116,2,A–D–G,La maj,
Back in Black,AC/DC,1980,Hard rock,Mi,92,2,E–D–A,Mi maj / Mi min,
Sweet Child O' Mine,Guns N' Roses,1987,Hard rock,Ré (doigté),125,3,D–C–G (couplet),Ré maj / Ré min,"Accordage Mib : sonne 1/2 ton plus bas (Réb). Intro = arpège, pas penta"
Riptide,Vance Joy,2013,Indie folk,Do (doigté),102,2,Am–G–C (formes),Do maj / La min,Capo 1 (voir tab)
Take Me Out,Franz Ferdinand,2004,Indie rock,La min,105,3,Voir tab (changement de tempo),La min,
All of Me,Standard,1931,Jazz,Do,140,4,C–E7–A7–Dm7–E7–Am,Do maj,
Summertime,Gershwin (std),1935,Jazz,La min,80,3,Am–E7 / Dm–Am,La min,
"Take the ""A"" Train",Duke Ellington,1939,Jazz,Do,160,4,C–D7–Dm7–G7,Do maj,
Autumn Leaves,Standard,1945,Jazz,Mi min / Sol,120,4,Am7–D7–Gmaj7–Cmaj7–F#m7b5–B7–Em,Sol maj / Mi min,ii–V–I majeur puis mineur
Fly Me to the Moon,Standard,1954,Jazz,Do,120,4,Am7–Dm7–G7–Cmaj7 (cycle),Do maj,ii–V–I en cascade
All Blues,Miles Davis,1959,Jazz,Sol,140,3,Blues 6/8 en Sol,Sol maj / blues,
Freddie Freeloader,Miles Davis,1959,Jazz,Sib,140,4,12 mesures Sib,Sib blues,
Take Five,Dave Brubeck,1959,Jazz,Mib min,170,3,Ebm–Bbm (vamp),Mib min,Mesure à 5/4
So What,Miles Davis,1959,Jazz modal,Ré dorien → Mib,136,4,Dm7 (16) / Ebm7 (8) / Dm7 (8),Ré min / Mib min,Forme AABA modale
Blue Monk,Thelonious Monk,1954,Jazz/blues,Sib,100,3,12 mesures Sib,Sib blues,
Blue Bossa,Kenny Dorham,1963,Jazz/bossa,Do min,150,3,Cm7–Fm7–Dm7b5–G7,Do min,
St. Thomas,Sonny Rollins,1954,Jazz/calypso,Do,160,4,C–G7–C (calypso),Do maj,
Watermelon Man,Herbie Hancock,1962,Jazz/funk,Fa,130,3,Blues 16 mesures en Fa,Fa maj / blues,
Cantaloupe Island,Herbie Hancock,1964,Jazz/funk,Fa min,110,3,Fm7–Db7–Dm7,Fa min,
Mercy Mercy Mercy,Cannonball Adderley,1966,Jazz/gospel,Fa,90,3,Voir tab (gospel),Fa maj,
Iron Man,Black Sabbath,1970,Metal,Si min,72,2,Riff sur Si,Si min,Vérifier accordage
Paranoid,Black Sabbath,1970,Metal,Mi min,163,3,Riff sur Mi min,Mi min,Souvent joué accordé plus bas
Ace of Spades,Motörhead,1980,Metal,Mi,140,4,Riff/vamp sur E,Mi min / blues,
Crazy Train,Ozzy Osbourne,1980,Metal,Fa# min,138,4,Riff / F#5–A5–E5,Fa# min,
Enter Sandman,Metallica,1991,Metal,Mi min,123,3,Riff sur Em,Mi min,Accordage Mib standard (vérifier)
Yesterday,The Beatles,1965,Pop,Fa,96,2,F–Em–A7–Dm,Fa maj / Ré min,
Someone Like You,Adele,2011,Pop,La,135,2,A–E–F#m–D,La maj / Fa# min,I–V–vi–IV
Hello,Adele,2015,Pop,Fa min,79,2,Fm–Ab–Eb–Db,Fa min,
Perfect,Ed Sheeran,2017,Pop,Lab (doigté Sol),95,2,G–Em–C–D (formes),Sol maj (formes),Capo 1 : sonne en Lab
Shape of You,Ed Sheeran,2017,Pop,Do# min,96,2,C#m–F#m–A–B,Do# min,
Every Breath You Take,The Police,1983,Pop rock,Lab,117,2,Ab–Fm–Db–Eb,Lab maj,I–vi–IV–V ; sonne en Lab (souvent capo)
Yellow,Coldplay,2000,Pop rock,Si,87,2,B–F#–E (couplet),Si maj,Souvent capo (voir tab)
Clocks,Coldplay,2002,Pop rock,Mib,131,2,Eb–Bbm–Fm (arpège),Mib maj,
The Scientist,Coldplay,2002,Pop rock,Fa,146,2,Dm–Bb–F–Fsus4,Fa maj / Ré min,
Viva la Vida,Coldplay,2008,Pop rock,Lab,138,2,Ab–Db–Eb–Fm (boucle),Lab maj,Sonne en Lab
I'm Yours,Jason Mraz,2008,Pop/reggae,Si (doigté Sol),150,2,G–D–Em–C (formes),Sol maj (formes),Capo 4 : sonne en Si
Hey Jude,The Beatles,1968,Pop/rock,Fa,75,2,F–C–C7–F / Bb–F–C–F,Fa maj / Ré min,
Here Comes the Sun,The Beatles,1969,Pop/rock,La (doigté Ré),130,3,D–G–A7 (formes),Ré maj (formes),Capo 7 : sonne en La
Let It Be,The Beatles,1970,Pop/rock,Do,72,2,C–G–Am–F,Do maj / La min,
Rolling in the Deep,Adele,2010,Pop/soul,Do min,105,2,Cm–Bb–Ab (couplet),Do min,
Thinking Out Loud,Ed Sheeran,2014,Pop/soul,Ré,79,2,D–F#m–G–A,Ré maj,
Comfortably Numb,Pink Floyd,1979,Prog rock,Si min (couplet) / Ré (refrain),63,3,Bm–A–G–... / D–A–C–G,Si min / Ré maj,Deux centres selon section
Blitzkrieg Bop,Ramones,1976,Punk,La,170,2,A–D–E,La maj,I–IV–V
I Wanna Be Sedated,Ramones,1978,Punk,Mi,146,2,E–A–B,Mi maj,
Should I Stay or Should I Go,The Clash,1982,Punk rock,Ré,114,2,D–G–D / F–G (pont),Ré maj,
Basket Case,Green Day,1994,Punk rock,Mib,172,3,Eb–Bb–Cm–Gm (formes),Mib maj,Accordage Mib (album)
When I Come Around,Green Day,1994,Punk rock,Sol,130,2,G–D–Em–C,Sol maj,I–V–vi–IV
Stir It Up,Bob Marley,1973,Reggae,La,74,2,A–D–E,La maj,I–IV–V
No Woman No Cry,Bob Marley,1974,Reggae,Do,78,2,C–G–Am–F,Do maj / La min,
One Love,Bob Marley,1977,Reggae,Do,80,1,C–F–C–G,Do maj,
Three Little Birds,Bob Marley,1977,Reggae,La,74,2,A–D–E,La maj,
Is This Love,Bob Marley,1978,Reggae,La,120,2,A–D–A–E,La maj,
Louie Louie,The Kingsmen,1963,Rock,La,120,1,A–D–Em–D,La maj,
You Really Got Me,The Kinks,1964,Rock,Sol,138,2,Riff G–A (power chords),Sol maj,
(I Can't Get No) Satisfaction,The Rolling Stones,1965,Rock,Mi,136,2,Riff E–A / B–A,Mi maj,
Hey Joe,Jimi Hendrix,1966,Rock,Mi,82,2,C–G–D–A–E (cycle),Mi maj,
Paint It Black,The Rolling Stones,1966,Rock,Mi min,160,3,Em–B7 (couplet),Mi min,
Wild Thing,The Troggs,1966,Rock,La,100,1,A–D–E,La maj,I–IV–V
Foxy Lady,Jimi Hendrix,1967,Rock,Fa# min,105,3,Riff sur Fa#m,Fa# min,
Light My Fire,The Doors,1967,Rock,La min,120,3,Am7–F#m7 (couplet),La min,Solo modal
Purple Haze,Jimi Hendrix,1967,Rock,Mi,108,3,E7#9 / riff,Mi min / blues,
Sunshine of Your Love,Cream,1967,Rock,Ré,116,2,Riff (D–...–C) / D–C–D,Ré min / blues,Riff penta déplaçable
Born to Be Wild,Steppenwolf,1968,Rock,Mi,145,2,E–D / G–A,Mi min / blues,
While My Guitar Gently Weeps,The Beatles,1968,Rock,La min,115,3,Am–G–D/F#–F / A–C#m,La min,
Bad Moon Rising,Creedence Clearwater Revival,1969,Rock,Ré,96,2,D–A–G–D,Ré maj,
Come Together,The Beatles,1969,Rock,Ré min,82,3,Riff/vamp Dm,Ré min / blues,
Fortunate Son,Creedence Clearwater Revival,1969,Rock,Sol,130,2,G–C / A–G–D,Sol maj,
Proud Mary,Creedence Clearwater Revival,1969,Rock,Ré,120,2,D (intro C–A) / rolling,Ré maj,
All Right Now,Free,1970,Rock,La,124,2,A–D–A / G–D–A,La maj / blues,
Brown Sugar,The Rolling Stones,1971,Rock,Do,128,3,Riff (open G),Do maj,Accordage ouvert en Sol
Have You Ever Seen the Rain,Creedence Clearwater Revival,1971,Rock,Do,116,2,C–Am–F–G,Do maj,
Riders on the Storm,The Doors,1971,Rock,Mi,100,3,Vamp Em (jazzy),Mi min,
Stairway to Heaven,Led Zeppelin,1971,Rock,La min,72,3,Am–G#aug–C/G–D/F# (intro),La min,Solo canonique en La min penta ; harmonie riche
Sweet Emotion,Aerosmith,1975,Rock,La,96,3,Vamp sur A,La min / blues,
Wish You Were Here,Pink Floyd,1975,Rock,Sol,120,2,G–Em (thème) / C–D–Am,Sol maj,
(Don't Fear) The Reaper,Blue Öyster Cult,1976,Rock,La min,141,2,Am–G–F / F–G–Am,La min,
Hotel California,Eagles,1976,Rock,Si min,75,3,Bm–F#–A–E–G–D–Em–F#,Si min,Cycle harmonique complet
More Than a Feeling,Boston,1976,Rock,Sol,110,3,D–Csus2–G / Em–D–G,Sol maj,Voir tab (arpèges)
Dreams,Fleetwood Mac,1977,Rock,Fa,120,2,F–G (2 accords),Fa maj,Deux accords en boucle
Go Your Own Way,Fleetwood Mac,1977,Rock,Fa,135,3,F–C–Bb / Dm–Bb–F,Fa maj / Ré min,
Roxanne,The Police,1978,Rock,Sol min,132,2,Gm–F–Eb…,Sol min,
Message in a Bottle,The Police,1979,Rock,Do# min,150,3,C#madd9–Aadd9–Badd9–F#add9,Do# min,
Don't Stop Believin',Journey,1981,Rock,Mi,119,3,E–B–C#m–A,Mi maj / Fa# min,I–V–vi–IV
Start Me Up,The Rolling Stones,1981,Rock,Do,124,2,C–F–Bb (open G),Do maj,Accordage ouvert en Sol
With or Without You,U2,1987,Rock,Ré,110,2,D–A–Bm–G,Ré maj / Si min,Boucle I–V–vi–IV
Free Fallin',Tom Petty,1989,Rock,Fa (doigté Ré),85,2,D–Dsus4–G (formes),Ré maj (formes),Capo 3 : sonne en Fa
Mr. Brightside,The Killers,2003,Rock,Réb (doigté Do),148,3,C–Cmaj7–F (formes),Do maj (formes),Capo 1 : sonne en Réb
Use Somebody,Kings of Leon,2008,Rock,Do,136,2,C–Em–F (boucle),Do maj,
Johnny B. Goode,Chuck Berry,1958,Rock'n'roll,Sib (disque) / La (souvent joué),168,3,12 mesures,La / Sib blues,"Enregistré en Sib, joué en La le plus souvent"
La Bamba,Ritchie Valens,1958,Rock'n'roll,Do,150,2,C–F–G,Do maj,I–IV–V
Twist and Shout,The Beatles,1963,Rock'n'roll,Ré,124,2,D–G–A,Ré maj,I–IV–V ascendant
Wonderful Tonight,Eric Clapton,1977,Rock/ballade,Sol,96,2,G–D–C–D,Sol maj,
Tears in Heaven,Eric Clapton,1992,Rock/ballade,La,80,2,A–E–F#m / D–E,La maj / Fa# min,
Stand By Me,Ben E. King,1961,Soul,La,118,3,A–F#m–D–E,La maj,Progression 'années 50' I–vi–IV–V
Respect,Aretha Franklin,1967,Soul,Do,116,3,Vamp sur C,Do maj,
(Sittin' On) The Dock of the Bay,Otis Redding,1968,Soul,Sol,104,2,G–B–C–A,Sol maj,
I Heard It Through the Grapevine,Marvin Gaye,1968,Soul,Mib min,114,3,Vamp Ebm,Mib min,Sonne en Mibm
Ain't No Sunshine,Bill Withers,1971,Soul,La min,78,2,Am–Em–G–Am,La min,
Let's Stay Together,Al Green,1971,Soul,Lab,102,3,Voir tab (harmonie riche),Lab maj,
What's Going On,Marvin Gaye,1971,Soul,Mi,102,5,Emaj7–C#m7 (jazzy),Mi maj,
Isn't She Lovely,Stevie Wonder,1976,Soul,Mi,120,3,E–C#m–A–B,Mi maj,
My Girl,The Temptations,1964,Soul/Motown,Do,103,3,C–F (couplet),Do maj,Intro = Do maj pentatonique
Papa Was a Rollin' Stone,The Temptations,1972,Soul/funk,Si min,100,3,Vamp Bm (un accord),Si min,Groove sur un accord
Sweet Home Alabama,Lynyrd Skynyrd,1974,Southern rock,Ré (ambigu Ré/Sol),98,3,D–C–G,Sol maj / Ré maj,Débat tonal classique Ré vs Sol
Take on Me,a-ha,1985,Synthpop,La,169,2,A–E–D–F#m (couplet),La maj,Voir tab (riff synthé)
I Want You Back,The Jackson 5,1969,Soul/Motown,Lab,100,4,,Lab maj,"Ligne de Wilton Felder. Tonalité et tempo : partition Musicnotes MN0066248"
Papa Was a Rollin' Stone,The Temptations,1972,Soul/funk,Sib min,,4,Vamp Sibm (un accord),Sib min,"Tonalité : lead sheet Musicnotes MN0143899"
A Change Is Gonna Come,Sam Cooke,1964,Soul,Sib,,,,Sib maj,"Tonalité : partition Musicnotes MN0068811"
Bridge Over Troubled Water,Simon & Garfunkel,1970,Folk rock,Mib,,,,Mib maj,"Tonalité : partition Musicnotes MN0104274"
Roxanne,The Police,1978,Rock,Sol min,,,,Sol min,"Tonalité : partition Musicnotes MN0077610 (pianoscales.org la donne en Sib, son relatif majeur)"
Purple Rain,Prince,1984,Rock,Sib,,,,Sib maj,"Tonalité : lead sheet Musicnotes MN0163092"
Don't Cry,Guns N' Roses,1991,Hard rock,Sol# min (doigté La min),,,,Sol# min,"Accordage 1/2 ton plus bas : partition en la min (Musicnotes MN0148353), sonne en sol# min"
